,Unnamed: 0,elapsed_time,cpu_time,memory_usage,input_V,input_E,output_V,output_E,root_node,edges_completeness
0,0,0.3345012664794922,0.3350000000001962,0,10,0,10,0,5,0.0
1,1,0.2927780151367187,0.2939999999997944,0,10,0,10,0,6,0.0
2,2,0.2880096435546875,0.2889999999999837,0,10,0,10,0,0,0.0
3,3,0.2901554107666015,0.2909999999998192,0,10,0,10,0,2,0.0
4,4,0.303506851196289,0.304000000000304,0,10,0,10,0,2,0.0
5,5,0.2930164337158203,0.2930000000000987,0,10,0,10,0,8,0.0
6,6,0.2841949462890625,0.2849999999998687,0,10,0,10,0,3,0.0
7,7,0.2808570861816406,0.2809999999997536,0,10,0,10,0,4,0.0
8,8,0.2732276916503906,0.2740000000001075,0,10,0,10,0,5,0.0
9,9,0.2870559692382812,0.288000000000288,0,10,0,10,0,2,0.0
10,10,0.3156661987304687,0.316000000000205,0,12,0,12,0,7,0.0
11,11,0.3163814544677734,0.3180000000000405,0,12,0,12,0,5,0.0
12,12,0.3201961517333984,0.3210000000000157,0,12,0,12,0,11,0.0
13,13,0.345468521118164,0.3460000000004015,0,12,0,12,0,11,0.0
14,14,0.3991127014160156,0.3999999999999559,0,12,0,12,0,10,0.0
15,15,0.5657672882080078,0.3619999999999734,0,12,0,12,0,8,0.0
16,16,0.3523826599121094,0.3529999999996036,0,12,0,12,0,7,0.0
17,17,0.3373622894287109,0.3380000000001715,0,12,0,12,0,8,0.0
18,18,0.3030300140380859,0.3030000000001642,0,12,0,12,0,10,0.0
19,19,0.3080368041992187,0.3090000000001147,0,12,0,12,0,4,0.0
20,20,0.3805160522460937,0.3799999999998249,0,16,0,16,0,7,0.0
21,21,0.3666877746582031,0.3669999999997841,0,16,0,16,0,1,0.0
22,22,0.3719329833984375,0.3729999999997346,0,16,0,16,0,13,0.0
23,23,0.3504753112792969,0.3510000000002122,0,16,0,16,0,10,0.0
24,24,0.3969669342041015,0.3989999999998161,0,16,0,16,0,3,0.0
25,25,0.3674030303955078,0.3679999999999239,0,16,0,16,0,3,0.0
26,26,0.3511905670166015,0.3519999999999079,0,16,0,16,0,13,0.0
27,27,0.3488063812255859,0.3489999999999327,0,16,0,16,0,10,0.0
28,28,0.34332275390625,0.3439999999996779,0,16,0,16,0,15,0.0
29,29,0.3480911254882812,0.3489999999999327,0,16,0,16,0,7,0.0
30,30,0.396728515625,0.3969999999995366,0,20,0,20,0,17,0.0
31,31,0.3941059112548828,0.3950000000001452,0,20,0,20,0,18,0.0
32,32,0.4215240478515625,0.4219999999999224,0,20,0,20,0,1,0.0
33,33,0.4014968872070312,0.4029999999999312,0,20,0,20,0,11,0.0
34,34,0.3910064697265625,0.3910000000004743,0,20,0,20,0,7,0.0
35,35,0.3783702850341797,0.380000000000269,0,20,0,20,0,15,0.0
36,36,0.4429817199707031,0.4439999999998889,0,20,0,20,0,16,0.0
37,37,0.4351139068603515,0.4360000000001029,0,20,0,20,0,18,0.0
38,38,0.453948974609375,0.4550000000000942,0,20,0,20,0,3,0.0
39,39,0.4172325134277344,0.4180000000002515,0,20,0,20,0,15,0.0
40,40,0.5180835723876953,0.5179999999995744,0,26,0,26,0,24,0.0
